Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-06-06,657.01,660.0,653.40266,653.40267,5.42016939,3568.79876263,658.429378464
2014-06-07,655.3008,659.8,636.68008,659.8,4.59219475,2983.91580271,649.779890696
2014-06-08,650.06533,659.8,646.001,656.43773,0.90148748,590.838687745,655.404207882
2014-06-09,654.51524,655.40593,636.50109,643.43801,4.63940113,2991.77645713,644.862639229
2014-06-10,643.43801,657.71523,643.43801,646.88986,7.12894414,4677.86641992,656.179418447
2014-06-11,649.93241,649.93241,617.99453,617.99453,19.60375825,12480.2377034,636.624750431
2014-06-12,630.34421,637.06225,552.00001,571.13506,77.29542908,47146.1842497,609.94789486
2014-06-13,582.39999,617.306,572.51819,589.68386,18.1016915,10699.7508654,591.091217384
2014-06-14,583.86257,600.0,542.96197,565.181,16.63757925,9491.75871731,570.501187383
2014-06-15,573.27782,595.38177,534.2759,595.38177,34.21065485,19437.3280093,568.165914816
2014-06-16,589.48399,612.91177,574.17532,597.137,10.22317044,6121.86038645,598.822099502
2014-06-17,597.13702,608.98256,586.25,608.974,2.80176761,1677.67274036,598.79082561
2014-06-18,609.204,625.0,603.41,605.88912,10.00242965,6101.71027605,610.022813412
2014-06-19,603.4,627.05395,594.115,595.93062,8.40599693,5107.52379071,607.604765175
2014-06-20,595.80203,602.794,578.508,593.90308,5.80965283,3433.12991721,590.935468551
2014-06-21,589.92084,598.50479,581.093,590.5874,0.76420897,446.871505033,584.75040542
2014-06-22,584.748,602.33414,584.748,596.23865,8.34380806,4973.51099279,596.072076086
2014-06-23,590.36701,590.36701,584.42153,584.42153,2.63511541,1553.93986194,589.704669497
2014-06-24,590.202,595.22794,576.12935,586.15372,2.85075357,1662.72025182,583.256395542
2014-06-25,575.0,575.00001,557.432,564.425,29.22933529,16692.5468836,571.088829696
2014-06-26,568.44301,583.2618,568.44301,575.93045,2.77356002,1596.7827665,575.715958907
2014-06-27,585.51881,599.99999,575.35,597.69266,21.76241551,12711.4575057,584.101406385
2014-06-28,596.77207,604.382,590.21281,590.21281,4.45696487,2660.54052603,596.939981273
2014-06-29,596.05353,602.302,589.76385,589.76385,0.68059782,405.237896819,595.414626539
2014-06-30,587.724,645.00088,587.724,637.0,18.97691245,11843.5429439,624.102734053
2014-07-01,644.9,657.83319,634.164,640.0,12.74856305,8199.21916938,643.148497381
2014-07-02,638.0,658.87046,638.0,646.57973,24.82344188,16103.4120621,648.717939276
2014-07-03,644.50278,655.08161,638.8895,647.52335,13.32045092,8644.17668608,648.940245191
2014-07-04,647.52335,652.78999,622.59501,635.25253,2.95964374,1889.12352366,638.294230527
2014-07-05,628.267,634.607,618.0,628.98732,3.74096373,2329.89059304,622.804913705
2014-07-06,629.5,639.48798,629.09801,629.09801,2.24834956,1437.4369768,639.329845491
2014-07-07,627.62401,638.973,614.74121,625.98859,6.4662628,4034.35627736,623.908492764
2014-07-08,620.75041,626.87452,614.74195,617.03703,1.43869931,891.918851794,619.948063917
2014-07-09,615.35044,627.89636,615.35044,627.89636,1.63253636,1024.37852246,627.47669673
2014-07-10,632.10834,632.10834,614.47299,614.47299,0.64269544,399.829292026,622.113161447
2014-07-11,618.0,629.4561,614.81343,629.4561,1.5033953,940.172639513,625.366222386
2014-07-12,631.64564,639.38158,631.58744,639.38158,0.72466054,458.774286531,633.088544508
2014-07-13,632.0,653.49,625.28785,626.50085,1.01076695,640.454844027,633.632554
2014-07-14,629.95001,632.67046,618.14322,626.23343,1.34438355,836.352901666,622.108848079
2014-07-15,620.02698,620.02698,620.02698,620.02698,0.18,111.6048564,620.02698
2014-07-16,620.02697,626.16276,612.89942,625.22399,7.40718446,4575.51390994,617.712969705
2014-07-17,625.224,630.00997,610.34746,624.97989,0.96305901,593.832091754,616.610286169
2014-07-18,624.55999,628.99999,615.17054,625.999,12.28947057,7601.7982221,618.561896446
2014-07-19,628.99999,630.0,628.99999,630.0,1.55920445,981.080096863,629.218379195
2014-07-20,629.99899,629.99899,619.0,619.0,0.50676663,318.270377169,628.041308026
2014-07-21,629.76875,629.76875,629.76875,629.76875,0.00063515,0.399997621562,629.76875
2014-07-22,618.68819,618.68819,618.68818,618.68818,8.44036665,5221.95508122,618.68818
2014-07-23,623.98,623.98,610.0,618.62146,7.49582514,4587.10995709,611.955304642
2014-07-24,612.5,623.43078,593.86453,605.63646,17.72326386,10802.1267463,609.48857003
